id,name,position,team
1,Josh Allen,QB,BUF
2,James Cook,RB,BUF
3,Khalil Shakir,WR,BUF
4,Joshua Palmer,WR,BUF
5,Dalton Kincaid,TE,BUF
6,Matt Prater,K,BUF
7,Bills Defense,DEF,BUF
8,Bo Nix,QB,DEN
9,Chuba Hubbard,RB,CAR
10,Courtland Sutton,WR,DEN
11,Troy Franklin,WR,DEN
12,Brenton Strange,TE,JAX
13,Wil Lutz,K,DEN
14,Broncos Defense,DEF,DEN
15,Justin Herbert,QB,LAC
16,D'Andre Swift,RB,CHI
17,Ladd McConkey,WR,LAC
18,Quentin Johnston,WR,LAC
19,Oronde Gadsden,TE,LAC
20,Cameron Dicker,K,LAC
21,Chargers Defense,DEF,LAC
22,Drake Maye,QB,NE
23,RJ Harvey,RB,DEN
24,DeMario Douglas,WR,NE
25,Kendrick Bourne,WR,SF
26,Hunter Henry,TE,NE
27,Andy Borregales,K,NE
28,Patriots Defense,DEF,NE
29,Trevor Lawrence,QB,JAX
30,Josh Jacobs,RB,GB
31,Brian Thomas Jr.,WR,JAX
32,Jakobi Meyers,WR,JAX
33,Evan Engram,TE,DEN
34,Cam Little,K,JAX
35,Jaguars Defense,DEF,JAX
36,Aaron Rodgers,QB,PIT
37,Woody Marks,RB,HOU
38,Matthew Golden,WR,GB
39,Davante Adams,WR,LAR
40,Pat Freiermuth,TE,PIT
41,Chris Boswell,K,PIT
42,Steelers Defense,DEF,PIT
43,C.J. Stroud,QB,HOU
44,Travis Etienne Jr.,RB,JAX
45,Nico Collins,WR,HOU
46,Jayden Higgins,WR,HOU
47,Dalton Schultz,TE,HOU
48,Ka'imi Fairbairn,K,HOU
49,Texans Defense,DEF,HOU
50,Sam Darnold,QB,SEA
51,Omarion Hampton,RB,LAC
52,Rashid Shaheed,WR,SEA
53,Jaxon Smith-Njigba,WR,SEA
54,AJ Barner,TE,SEA
55,Jason Myers,K,SEA
56,Seahawks Defense,DEF,SEA
57,Matthew Stafford,QB,LAR
58,Kyren Williams,RB,LAR
59,Puka Nacua,WR,LAR
60,Cooper Kupp,WR,SEA
61,Colby Parkinson,TE,LAR
62,Harrison Mevis,K,LAR
63,Rams Defense,DEF,LAR
64,Brock Purdy,QB,SF
65,Rhamondre Stevenson,RB,NE
66,Ricky Pearsall,WR,SF
67,Jauan Jennings,WR,SF
68,George Kittle,TE,SF
69,Ryan Fitzgerald,K,CAR
70,49ers Defense,DEF,SF
71,Caleb Williams,QB,CHI
72,Saquon Barkley,RB,PHI
73,DJ Moore,WR,CHI
74,Keenan Allen,WR,LAC
75,Cole Kmet,TE,CHI
76,Cairo Santos,K,CHI
77,Bears Defense,DEF,CHI
78,Jalen Hurts,QB,PHI
79,Jaylen Warren,RB,PIT
80,A.J. Brown,WR,PHI
81,DeVonta Smith,WR,PHI
82,Dallas Goedert,TE,PHI
83,Jake Elliott,K,PHI
84,Eagles Defense,DEF,PHI
85,Bryce Young,QB,CAR
86,Kenneth Walker III,RB,SEA
87,Xavier Legette,WR,CAR
88,Tetairoa McMillan,WR,CAR
89,Ja'Tavion Sanders,TE,CAR
90,Eddy Pineiro,K,SF
91,Panthers Defense,DEF,CAR
92,Jordan Love,QB,GB
93,Christian McCaffrey,RB,SF
94,Jayden Reed,WR,GB
95,Romeo Doubs,WR,GB
96,Luke Musgrave,TE,GB
97,Brandon McManus,K,GB
98,Packers Defense,DEF,GB
99,TreVeyon Henderson,RB,NE
100,Kenneth Gainwell,RB,PIT
101,Rico Dowdle,RB,CAR
102,Kyle Monangai,RB,CHI
103,Zach Charbonnet,RB,SEA
104,Blake Corum,RB,LAR
105,Jaleel McLaughlin,RB,DEN
106,Brian Robinson,RB,SF
107,Colston Loveland,TE,CHI
108,Dawson Knox,TE,BUF
109,Terrance Ferguson,TE,LAR
110,Jonnu Smith,TE,PIT
111,Stefon Diggs,WR,NE
112,Kyle Williams,WR,NE
113,Jalen Coker,WR,CAR
114,Luther Burden,WR,CHI
115,Christian Watson,WR,GB
116,Parker Washington,WR,JAX
117,DK Metcalf,WR,PIT
118,Rome Odunze,WR,CHI
119,Keon Coleman,WR,BUF
120,Marvin Mims,WR,DEN
121,Christian Kirk,WR,HOU
122,Jaylin Noel,WR,HOU
123,Kayshon Boutte,WR,NE
124,Calvin Austin,WR,PIT
125,Pat Bryant,WR,DEN
